Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"Ambwa Ki Dharion Peh Jhoolna Jhula Ja, Ab Kay Sawan..",Nagin,1959,Safdar Hussain,Qateel Shafai,Iqbal Bano,
"Anjam-e-Mohabbat Dekh Liya Tum Nay, Aur Kahin Dil Na Lagana..",Sitaron Ki Dunya,1958,Zafar Khursheed,Mayel Lakhnavi,Ahmad Rushdi,
"Ankh Milnay Ka Bahana Ho Geya, Baithay Baithay Dil Nishana Ho Geya..",Naveli,1952,?,Saifuddin Saif,Naseem Akhtar,
"Ankhen Bhi Hayn Jadoo Bhari, Anchal Bhi Hay Dhalka Hua..",Ankh Ka Nashah,1957,Master Inayat Hussain,Qateel Shafai,Iqbal Bano,
Ankhen Hayn Intizar Ki Dunya Liye Huay..,Shola,1952,Fateh Ali Khan,Taj Chodhary,Pukhraj Pappu,
Ankhen Mila Kay Pyar Say Dil Ko Mita Diya..,Gumnam,1954,Master Inayat Hussain,Saifuddin Saif,Kousar Parveen,
"Ankhon Hi Ankhon Mein, Afsanay Ho Jatay Hayn..",Raat Ki Baat,1954,Master Inayat Hussain,Saifuddin Saif,?,
Ankhon Kay Rastay Koi Dil Mein Sama Geya..,Ham Watan,1951,Pardesi,Maya Devi,Salma Begum,
"Ankhon Mein Chalay Ao, Ham Dil Mein Chhupa Len Gay..",Kunvari Beva,1956,Fateh Ali Khan,Tufail Hoshiarpuri,Mehdi Hassan,
"Ankhon Mein Nachay Sabaz Pari, Sab Dunya Hay Hari Bhari..",Pavan,1956,Nazir Jafri,Qateel Shafai,Kousar Parveen,
"Ankhon Mein Raat Liye, Palkon Mein Bhari Barsat Liye..",Sohni,1955,Feroz Nizami,Qateel Shafai,Saleem Raza,
"Ankhon Mein Thi Basi Hui Dunya Saroor Ki, Lai Hay Kheinch Kar..",Neya Dour,1958,Tasadduq Hussain,Qateel Shafai,Munir Hussain,
"Ankhon Say Door, Dil Kay Saharay Chalay Geye..",Kundan,1950,Lal Mohammad Sabri,Qateel Shafai,Malika Pukhraj,
"Ankhon Say Pila Saqi, Dil Dil Say Mila Sathi..",Shohrat,1957,Rasheed Attray,Tufail Hoshiarpuri,Munawar Sultana,
"Apna Ban Liya Tumhen, Dil Mein Chhupa Liya..",Muskarahat,1959,Hameed Jazib,Hameed Jazib,Kousar Parveen,
Apnay Dil Say Mujhay Bhula Dena..,Laila Majnu,1957,Rasheed Attray,Tanvir Naqvi,Naheed Niazi,
"Apnay Lahu Ka Rang, Gullon Mein Richayen Gay..",Bara Aadmi,1957,Ghulam Nabi,Kaleem Usmani,Nazir Begum & Co.,
"Armaan Lut Geye, Meri Dunya Ujar Geyi..",Anokhi Dastan,1950,G.A. Chishti,?,Munawar Sultana,
"Armaan Lut Geye, Saharay Udas Hayn..",Anokhi Dastan,1950,G.A. Chishti,?,Inayat Hussain Bhatti,
"Armaan Luttay Is Dil Kay, Tum Bichhray Geye Kyun Mil Kay..",Ghulam,1953,Master Ghulam Haider,Qateel Shafai,Munawar Sultana,
"Armaan Tootay, Dil Toot Geya, Dunya Mien Khushi Ka Naam Nahin..",Akeli,1951,Master Ghulam Haider,Qateel Shafai,Munawar Sultana,
"Array, Dhoray Chohay Pait Mein Rotian Tayyar Jo Karti..",Akeli,1951,Master Ghulam Haider,Qateel Shafai,Noor Mohammad Charlie,
"Atkan, Chatkan, Chutkaye Ray, Kaisa Dukh diya Dil Ko..",Neya Zamana,1958,Tasadduq Hussain,Majru Sultanpouri,Zubaida Khanum,
"Awaz Kisi Ki Ayi, Yeh Kon Ga Rahi Thi..",Sachai,1949,G.A. Chishti,?,Inayat Hussain Bhatti,
"Aya Honton Peh Janay Kis Ka Naam, Nazar Sharmanay Lagi..",Jagga,1958,G.A. Chishti,Ahmad Rahi,Zubaida Khanum,
"Aya Ray, Aya Ray, Hamari Sundar Nagri Mein Sunehri Kirno Wala..",Judai,1950,Hassan Latif,Tanvir Naqvi,Pukhraj Pappu,
"Aye Din Bahar Kay, Ho, Aye Din Bahar Kay..",Tamanna,1958,Hassan Latif,Qateel Shafai,Zubaida Khanum,
"Aye Koi Karwan, Jaye Koi Karwan..",Gumrah,1959,G.A. Chishti,Ahmad Rahi,Zubaida Khanum,
"Aye Mousam Rangeelay Suhanay, Jiya Na Hi Manay..",7 Lakh,1957,Rasheed Attray,Saifuddin Saif,Zubaida Khanum,
"Ayi Ayi Bahar, Main Nachun Gi..",Wehshi,1956,Tufail Farooqi,Mushir Kazmi,Kousar Parveen,
"Ayi Ayi Jawani, Geya Dil Ray, Hui Bismil Ray, Main Haar Geyi..",Sailab,1953,Asghar Ali,Khawar Zaman,Nazir Begum & Co.,
"Ayi Bahar Ayi, Apnay Piya Say Hamen Pyar Ho Geya..",Ham Watan,1951,Pardesi,Maya Devi,Pukhraj Pappu,
"Ayi Bahar, Geya Dil Ka Qarar, Meri Ankhon Mein Hay Tera Pyar..",Funkar,1956,Tamar Barn,Tajammul Hussain,Khursheed,
"Ayi Millan Ki Raat, Bani Hay Baat, Baat Dulhaniya Mann Ki Seijh Sajao..",Beli,1950,Rasheed Attray,Ahmad Rahi,Pukhraj Pappu & Co.,
"Ayi Raat Barat Ki Ayi, Chand, Chandni Laya..",Aavaz,1953,Hassan Latif,Tanvir Naqvi,?,
"Ayi Ray Ayi Ray Kari Badaria, Pia Nahin Moray Pas Ray..",Ruhi,1954,Rasheed Attray,Tufail Hoshiarpuri,Najam Ara,
"Ayo Ayo, Kisi Say Pyar Karen, Kehta Hay Dil Mera..",Ilzam,1953,Asghar Ali,Yizdani Jalandhri,Zeenat Begum,
"B.A. Parha Kay Ham Ko, Mitti Kharab Kar Di..",Sailab,1953,Asghar Ali,?,Ali Bakhsh Zahoor,
Baan Naino Kay Seenay Peh Marun Gi Main..,Nagin,1959,Safdar Hussain,Qateel Shafai,Iqbal Bano,
Baankay Raseelay Hayn Nain Toray Bankay..,Aas Pas,1957,Akhtar Hussain Akhian,Qamar Lakhnavi,Kousar Parveen,
"Baat Hi Baat Mein Ji, Chandni Raat Mein, Jia Mera Kho Geya..",Dupatta,1952,Feroz Nizami,Mushir Kazmi,Noorjahan,
"Babul Ka Ghar Soona Kar Kay, Gori Praye Des Chali..",Hasrat,1958,Safdar Hussain,Qateel Shafai,Kousar Parveen & Co.,
"Babul Ka Hay Dar, Ghoonghat Pehnay Roye..",Pehla Qadam,1958,Ghulam Nabi,?,Madhu Almas,
"Bach Kay Rehna, Phir Na Kehna, Yahan Oopar Neechay..",Mazloom,1959,Tufail Farooqi,Mushir Kazmi,Zubaida Khanum,
"Bach Kay Zara, Hat Kay, Badmast Raho, Madhosh Raho..",Raaz,1959,Feroz Nizami,Kaleem Usmani,Mubarak Begum,
"Bachpan Ki Yaadgaro, Main Tum Ko Dhoondti Hun..",Gulnar,1953,Master Ghulam Haider,Qateel Shafai,Noorjahan,
"Bad-e-Saba, Lay Ja, Un Tak Pyam Mera, Meral Salam Lay Ja..",BeQarar,1950,Master Ghulam Haider,Arsh Lakhnavi,Munawar Sultana,
"Badli Hayn Kyun, Jahan Ki Hawaon Ko Kya Hua..",Sailab,1953,Asghar Ali,Tufail Hoshiarpuri,?,
"Bagh Jall Kay Reh Geya, Aur Aashiyan Lut Geya..",Lakhpati,1958,Masoom Rahim,Tajammal Sehrai,Depura Daniel,
"Baghon Mein Bahar Ayi, Mehki Hui Rutt Mein Dil Leta Hay Angrai..",Hasrat,1958,Safdar Hussain,Qateel Shafai,Zubaida Khanum,
Bahar Anay Say Pehlay Jal Utha Ashiyan Mera..,Mumtaz,1958,Mian Shehar Yaar,Liaqat Sehbai,Naseem Begum,
"Bahar Ayi, Ghata Chhai, Idhar Bhanwron Nay Li Angrai..",Kundan,1950,Lal Mohammad Sabri,Tanvir Naqvi,Iqbal Begum,
"Baharen Muskarati Hayn, Labbon Peh Ik Tarana Hay..",BeGunah,1958,Mian Shehar Yaar,Ashur Kazmi,Naseem Begum,
"Balam, Tum Haar Geye, Jeeta Mera Pyar, Mano Na Mano..",Baghi,1956,Rehman Verma,Mushir Kazmi,Zubaida Khanum,
"Ball Paray Taqdeer Mein, Dushman Zamana Ho Geya..",Sassi,1954,G.A. Chishti,Aziz Meeruti,Pukhraj Pappu,
"Balma, Saveray Chalay Jayio, Hay Raat Suhani, Yahin Rahio..",Faisala,1959,A. Hameed,Fyaz Hashmi,Zubaida Khanum,
"Ban Kay Dulhan Lehraon Gi, Ghoonghat Mein Sharmaun Gi..",Hameeda,1956,Safdar Hussain,Qateel Shafai,Zubaida Khanum,
Ban Than Kay Sajjan Teri Rah Takkan Ko..,Mirza Sahiban,1956,Khawaja Khursheed Anwar,Qateel Shafai,Zubaida Khanum,
"Banwariya, Na Ro Deti Hay Bekar Sadayen Beetay Jeevan Ko..",Teray Baghair,1959,Master Inayat Hussain,Tanvir Naqvi,Naseem Begum,
